Iris & 0.238 & 0.190 & 505.112 && 0.342 & 0.000 & 483.584 \\
Wine & 0.120 & 2.484 & 667.508 && 0.124 & 2.353 & 656.521 \\
Soybean & 0.496 & 0.000 & 176.333 && 0.515 & 0.000 & 151.163 \\
Pima & 0.236 & 25.195 & 4072.087 && 0.275 & 22.468 & 3990.383 \\
Balance & 0.090 & 25.510 & 2585.182 && 0.065 & 23.800 & 2554.494 \\
Boston & -0.000 & 0.173 & 1502.452 && -0.001 & 0.235 & 1570.547 \\
Diabetes & 0.000 & 0.364 & 1277.982 && 0.003 & 0.465 & 1284.486 \\
Breast_Cancer & 0.395 & 17.444 & 3651.263 && 0.159 & 22.256 & 3602.665 \\
Bupa & 0.281 & 14.151 & 1420.117 && 0.104 & 16.672 & 1409.487 \\
Ecoli & 0.009 & 20.321 & 1169.798 && 0.020 & 12.763 & 1112.981 \\
Haberman & 0.047 & 15.699 & 1155.985 && 0.084 & 15.441 & 1146.023 \\
Led7Digit & 0.009 & 11.347 & 1786.943 && 0.004 & 8.866 & 1784.708 \\
Monk2 & 0.421 & 14.926 & 1848.543 && 0.270 & 16.385 & 1821.208 \\
Newthyroid & 0.017 & 6.580 & 760.705 && 0.010 & 6.840 & 732.056 \\
Vehicle & 0.005 & 28.515 & 4366.104 && 0.006 & 22.151 & 4352.663 \\
Zoo & 0.105 & 1.091 & 336.345 && 0.098 & 2.182 & 317.674 \\
Sonar & 0.124 & 7.619 & 1106.039 && 0.116 & 8.952 & 1081.994 \\
Heart & 0.483 & 6.724 & 1150.298 && 0.134 & 12.536 & 1130.060 \\
Ionosphere & 0.125 & 17.587 & 1894.390 && 0.332 & 12.603 & 1872.308 \\
Wdbc & 0.478 & 16.316 & 3596.517 && 0.357 & 17.093 & 3528.029 \\
Vowel & 0.003 & 13.330 & 4245.672 && 0.002 & 11.523 & 4290.154 \\
Movement_Libras & 0.004 & 4.159 & 1508.279 && 0.003 & 3.396 & 1519.185 \\
Appendicitis & 0.022 & 5.454 & 383.642 && 0.086 & 5.091 & 366.491 \\
Saheart & 0.147 & 20.555 & 2135.624 && 0.265 & 16.725 & 2095.554 \\
Spectfheart & 0.334 & 9.573 & 1451.235 && 0.343 & 8.604 & 1405.243 \\
Hayesroth & 0.027 & 1.500 & 550.117 && 0.025 & 2.000 & 529.424 \\
Tae & 0.018 & 0.833 & 520.855 && 0.024 & 1.333 & 508.988 \\
Glass & 0.016 & 8.658 & 735.507 && 0.013 & 4.848 & 694.962 \\
Rand & 0.275 & 0.381 & 492.253 && 0.394 & 0.381 & 471.746 \\
Spiral & 0.058 & 15.402 & 1098.622 && 0.114 & 13.793 & 1099.747 \\
Moons & 0.277 & 11.816 & 1098.089 && 0.272 & 11.356 & 1075.089 \\
Circles & 0.166 & 12.598 & 1077.238 && 0.063 & 14.207 & 1060.787 \\
Means & 0.157 & 10.515 & 1572.714 && 0.144 & 9.916 & 1553.138 \\

