Appendicitis & 1.000 & 0.000 & 389.905 && 1.000 & 0.000 & 371.579 \\
Breast_Cancer & 0.807 & 9.086 & 4061.162 && 0.977 & 0.891 & 3984.370 \\
Bupa & 0.936 & 2.975 & 1529.151 && 0.993 & 0.281 & 1508.772 \\
Circles & 0.935 & 2.814 & 1180.268 && 1.000 & 0.000 & 1170.452 \\
Ecoli & 0.028 & 25.716 & 1267.419 && 0.047 & 21.466 & 1277.903 \\
Glass & 0.038 & 23.610 & 766.861 && 0.082 & 16.412 & 796.162 \\
Haberman & 0.943 & 2.073 & 1266.131 && 0.997 & 0.138 & 1235.441 \\
Hayesroth & 0.548 & 6.331 & 554.339 && 0.531 & 7.056 & 540.585 \\
Ionosphere & 0.902 & 4.314 & 2051.251 && 0.993 & 0.258 & 2019.558 \\
Iris & 0.691 & 5.241 & 513.675 && 0.553 & 6.528 & 488.262 \\
Led7Digit & 0.007 & 13.653 & 2053.264 && 0.005 & 12.170 & 2066.223 \\
Monk2 & 0.855 & 6.025 & 2055.425 && 0.991 & 0.379 & 2013.468 \\
Moons & 0.937 & 2.689 & 1177.848 && 0.995 & 0.158 & 1157.222 \\
Movement_Libras & 0.006 & 8.381 & 1654.159 && 0.004 & 7.676 & 1645.174 \\
Pima & 0.753 & 11.544 & 4855.446 && 0.899 & 4.419 & 4820.684 \\
Saheart & 0.881 & 5.250 & 2402.513 && 0.981 & 0.706 & 2353.931 \\
Sonar & 0.992 & 0.186 & 1138.769 && 1.000 & 0.000 & 1127.020 \\
Soybean & 0.416 & 0.000 & 171.281 && 0.563 & 0.000 & 153.406 \\
Spectfheart & 0.953 & 1.677 & 1602.229 && 1.000 & 0.000 & 1526.925 \\
Spiral & 0.921 & 3.604 & 1178.580 && 0.998 & 0.091 & 1155.194 \\
Tae & 0.351 & 9.807 & 527.292 && 0.392 & 9.419 & 508.610 \\
Vehicle & 0.144 & 28.781 & 5189.066 && 0.044 & 29.008 & 5284.288 \\
Vowel & 0.002 & 14.682 & 5450.331 && 0.003 & 13.766 & 5514.052 \\
Wdbc & 0.823 & 8.281 & 4019.683 && 0.972 & 1.068 & 3983.564 \\
Zoo & 0.176 & 5.429 & 335.715 && 0.153 & 4.191 & 320.186 \\
