Data sets,SHADE,COPKM,LCVQE,RDPM,TVClust,CEKM
Appendicitis5,"-0,047","0,182","0,335","0,108","0,012","0,076"
Breast_Cancer5,"0,099",-1,"0,491","0,506",0,0
Bupa5,"0,005",-1,"-0,006","-0,009","-0,003",0
Circles5,"0,027",-1,"-0,003","0,054","0,096","0,138"
Ecoli5,"0,004","0,263","0,397","0,44","0,221",-1
Glass5,"-0,007","0,213","0,28","0,171","0,211",-1
Haberman5,"-0,003",-1,"-0,002","0,127","0,149",0
Hayesroth5,"0,002","0,072","0,106","0,098","0,072","0,031"
Ionosphere5,"0,044",-1,"0,178","0,18",0,"0,27"
Iris5,"0,67","0,796","0,73","0,593","0,288","0,211"
Led7Digit5,"0,002","0,45","0,425","0,301","0,305",-1
Monk25,"0,035",-1,"0,075","0,08","-0,002","0,153"
Moons5,"0,157","-0,449","0,247","0,25","0,618","0,015"
Movement_Libras5,"0,001","0,304","0,297","0,215",0,-1
Pima5,"0,014",-1,"0,074","0,075","0,084",0
Saheart5,"0,006",-1,"0,02","0,036","0,044",0
Sonar5,"0,001",-1,"0,006","0,012",0,"0,001"
Soybean5,"0,483","0,519","0,545","0,617",0,"0,027"
Spectfheart5,"0,084",-1,"-0,107","-0,117",0,0
Spiral5,"0,004",-1,"-0,003","0,013","0,003","0,019"
Tae5,"0,01",0,"0,009",0,"0,005","0,002"
Vehicle5,"0,003",-1,"0,12","0,081","0,184",-1
Vowel5,"0,001","0,034","0,063","-0,002","0,068",-1
Wdbc5,"0,025",-1,"0,486","0,502",0,"0,004"
Zoo5,"0,129","0,696","0,666","0,334","0,335",-1
Appendicitis10,"0,086",-1,"0,335","0,316","0,025","-0,005"
Breast_Cancer10,"0,159","-0,604","0,486","0,502",0,0
Bupa10,"0,104",-1,"-0,005","-0,005","-0,004","-0,011"
Circles10,"0,063",-1,"-0,003","0,162","0,137","0,133"
Ecoli10,"0,02",-1,"0,387","0,417","0,265",-1
Glass10,"0,013","0,184","0,268","0,197","0,211",-1
Haberman10,"0,084",-1,"-0,002","0,127","0,218","-0,004"
Hayesroth10,"0,025",-1,"0,106","0,097","0,054","0,139"
Ionosphere10,"0,332",-1,"0,168","0,197",0,"0,03"
Iris10,"0,342","-0,285","0,73","0,607","0,244","0,684"
Led7Digit10,"0,004","0,497","0,425","0,369","0,316",-1
Monk210,"0,27","0,982","0,072","0,094","-0,002","0,007"
Moons10,"0,272",-1,"0,241","0,319","0,785","0,092"
Movement_Libras10,"0,003","0,285","0,293","0,256",0,-1
Pima10,"0,275",-1,"0,076","0,075","0,145","-0,008"
Saheart10,"0,265","0,974","0,018","0,02","0,068",0
Sonar10,"0,116",-1,"0,004","0,013",0,0
Soybean10,"0,515","0,503","0,545","0,621",0,"0,244"
Spectfheart10,"0,343",-1,"-0,107","-0,114",0,"0,05"
Spiral10,"0,114",-1,"-0,003","0,012","0,034","-0,002"
Tae10,"0,024",-1,"0,009",0,"0,067",0
Vehicle10,"0,006",-1,"0,121","0,081","0,28",-1
Vowel10,"0,002",-1,"0,063","-0,003","0,067",-1
Wdbc10,"0,357",-1,"0,486","0,502",0,0
Zoo10,"0,098","0,715","0,666","0,412","0,335",-1
Appendicitis15,"0,332",-1,"0,305","0,284","0,025","-0,006"
Breast_Cancer15,"0,911",1,"0,486","0,502",0,"0,037"
Bupa15,"0,801",1,"-0,005","-0,007","-0,007","0,001"
Circles15,"0,982",1,"-0,003","0,375","0,973","0,105"
Ecoli15,"0,025",-1,"0,387","0,372","0,719",-1
Glass15,"0,031",-1,"0,28","0,253","0,229",-1
Haberman15,"0,796",1,"-0,002","0,075","0,219","-0,05"
Hayesroth15,"0,099",-1,"0,106","0,107","0,15","0,135"
Ionosphere15,"0,591",1,"0,178","0,212",0,"0,057"
Iris15,"0,26",-1,"0,73","0,547","0,421","0,684"
Led7Digit15,"0,007",-1,"0,425","0,49","0,324",-1
Monk215,"0,945",1,"0,072","0,17","-0,002","0,007"
Moons15,"0,995",1,"0,241","0,436","0,987","0,095"
Movement_Libras15,"0,001","-0,742","0,293","0,255",0,-1
Pima15,"0,762",-1,"0,076","0,075",1,0
Saheart15,"0,945",1,"0,02","0,037","0,221",0
Sonar15,"0,89",-1,"0,004","0,019",0,0
Soybean15,"0,422","0,584","0,545","0,605",0,0
Spectfheart15,"0,778","0,983","-0,107","-0,117",0,"-0,07"
Spiral15,"0,949",-1,"-0,003","0,014","0,006","0,051"
Tae15,"0,066",-1,"0,008","-0,004","0,062",0
Vehicle15,"0,018",1,"0,121","0,081","0,576",-1
Vowel15,"0,001",-1,"0,063","-0,003","0,073",-1
Wdbc15,"0,93",1,"0,486","0,502",0,0
Zoo15,"0,128","0,435","0,642","0,45","0,353",-1
Appendicitis20,1,-1,"0,305","0,331","0,012","-0,006"
Breast_Cancer20,"0,977",1,"0,486","0,502",0,0
Bupa20,"0,993",1,"-0,005","-0,007","-0,006",0
Circles20,1,1,"-0,003","0,629",1,"0,138"
Ecoli20,"0,047",-1,"0,387","0,459","0,763",-1
Glass20,"0,082",-1,"0,271","0,287","0,218",-1
