,,,,,,
Iris ,"0,437",0,"420,384","0,653",0,"397,303"
Wine ,"0,214",0,"541,935","0,242",0,"491,099"
Soybean ,"0,305",0,"149,117","0,419",0,"132,959"
Pima ,"0,019","14,98","3196,112","0,025","12,506","3116,064"
Balance ,"0,006","12,634","2039,353","0,02","8,602","1996,915"
Boston ,"-0,002",0,"1199,694","0,002",0,"1204,278"
Diabetes ,"0,001",0,"992,922","0,001","0,659","1156,654"
Breast_Cancer ,"0,045","9,688","2868,367","0,118","6,979","2888,681"
Bupa ,"0,018","2,832","1138,77","0,003","2,614","1075,413"
Ecoli ,"0,003","6,863","927,938",0,"1,961","905,043"
Haberman ,"0,006","2,5","922,068","0,001","1,944","898,089"
Led7Digit ,"0,006",5,"1406,059","0,001","1,667","1392,146"
Monk2 ,"0,043","3,752","1475,329","0,02","4,185","1435,526"
Newthyroid ,"-0,042",0,"619,92","-0,07","0,606","612,812"
Vehicle ,"0,001","19,528","3372,91","0,004","9,339","3340,76"
Zoo ,"0,022",0,"280,959","0,133",0,"268,318"
Sonar ,"0,014","0,606","912,58","-0,003","0,606","879,264"
Heart ,"0,013",0,"927,278","0,009","1,099","923,135"
Ionosphere ,"0,037","2,179","1525,972","0,046","3,486","1486,033"
Wdbc ,"0,056","9,852","2852,456","0,024","9,113","2852,17"
Vowel ,"0,001","10,34","3232,314","0,001","7,81","3178,456"
Movement_Libras ,"0,003","0,871","1220,52","0,002","0,218","1176,675"
Appendicitis ,"-0,025",0,"320,721","-0,054",0,"304,072"
Saheart ,"0,027","5,918","1696,328","-0,002","6,522","1671,519"
Spectfheart ,"0,096","1,465","1162,2","0,083","0,366","1146,651"
Hayesroth ,"-0,008",0,"455,817","0,003",0,"436,62"
Tae ,"0,007",0,"435,179","0,014",0,"404,209"
Glass ,"-0,013",0,"597,062","-0,002",0,"579,973"
Rand ,"0,647",0,"400,459","0,791",0,"395,577"
Spiral ,"0,028","0,952","887,381","0,008","0,635","869,244"
Moons ,"0,083","2,222","881,931","0,135","0,635","866,284"
Circles ,"0,033","1,587","883,434",0,"0,952","847,35"
,"0,06503125","3,55528125","1248,23340625","0,08209375","2,57825","1229,040375"
